Quickness rating,Color
2.24,Blue
4.98,Blue
1.09,Blue
4.31,Blue
2.53,Blue
2.66,Blue
4.76,Blue
3.45,Blue
5.17,Blue
4.82,Blue
3.73,Blue
4.04,Blue
3.09,Blue
3.3,Blue
2.88,Blue
4.79,Blue
4.47,Blue
2.77,Blue
3.31,Blue
2.11,Blue
4.45,Blue
3.72,Blue
3.58,Blue
4.53,Blue
4.96,Blue
2.52,Yellow
2.61,Yellow
2.17,Yellow
4.98,Yellow
2.44,Yellow
3.21,Yellow
2.23,Yellow
3.1,Yellow
3.2,Yellow
4.01,Yellow
1.36,Yellow
3.53,Yellow
3.08,Yellow
3.08,Yellow
3.21,Yellow
3.22,Yellow
3.94,Yellow
0.84,Yellow
3.71,Yellow
5.76,Yellow
2.41,Yellow
1.79,Yellow
2.7,Yellow
3.85,Yellow
