Score,Group
37,Control
27,Control
32,Control
0,Control
32,Control
22,Control
7,Control
28,Control
0,Control
7,Control
29,Control
19,Control
27,Control
35,Control
8,Control
29,Control
35,Control
8,Control
25,Control
33,Control
33,Control
26,Control
30,Control
29,Control
29,Control
22,Control
22,Control
37,Control
3,Control
9,Control
32,Control
28,Control
9,Control
33,Control
0,Control
36,Control
28,Control
33,Control
33,Control
30,Control
29,Control
32,Control
30,Control
28,Control
26,Control
6,Control
35,Control
36,Control
32,Control
25,Control
4,Control
28,Control
28,Control
39,Control
32,Control
37,Control
33,Control
3,Control
20,Control
38,Control
0,Control
35,Control
8,Control
32,Control
22,Control
36,Control
24,Control
31,Control
22,Control
29,Control
0,Control
21,Control
29,Control
24,Control
29,Control
32,Control
0,Control
9,Control
20,Control
34,Experimental
37,Experimental
32,Experimental
28,Experimental
37,Experimental
25,Experimental
27,Experimental
28,Experimental
29,Experimental
34,Experimental
28,Experimental
34,Experimental
26,Experimental
26,Experimental
31,Experimental
28,Experimental
23,Experimental
38,Experimental
33,Experimental
29,Experimental
33,Experimental
35,Experimental
26,Experimental
34,Experimental
23,Experimental
22,Experimental
28,Experimental
30,Experimental
34,Experimental
31,Experimental
37,Experimental
33,Experimental
21,Experimental
34,Experimental
32,Experimental
24,Experimental
31,Experimental
34,Experimental
9,Experimental
34,Experimental
34,Experimental
23,Experimental
29,Experimental
38,Experimental
0,Experimental
22,Experimental
37,Experimental
33,Experimental
9,Experimental
24,Experimental
23,Experimental
29,Experimental
6,Experimental
27,Experimental
30,Experimental
32,Experimental
0,Experimental
8,Experimental
25,Experimental
36,Experimental
5,Experimental
30,Experimental
29,Experimental
33,Experimental
28,Experimental
30,Experimental
34,Experimental
36,Experimental
9,Experimental
38,Experimental
35,Experimental
26,Experimental
7,Experimental
23,Experimental
35,Experimental
28,Experimental
28,Experimental
21,Experimental
32,Experimental
16,Experimental
25,Experimental
27,Experimental
30,Experimental
25,Experimental
37,Experimental
