Salary,Year,Experience,Teaching load
87,3,15,3
90,3,5,3
91.5,3,12,4
72,3,4,6
85,3,1,4
83,3,12,6
90,3,2,4
83,3,2,5
90,3,1,4
100,3,3,3
84,3,0.5,5
100,3,9,4
100,3,9,4
76,3,0,6
80,3,3,6
78.5,3,1,6
64,3,2,8
103,3,2,3
82,3,4,6
97,3,2,4
98,3,3,4
98,3,2,4
87.5,3,7,6
73.5,3,6,8
100,3,1,4
102,3,3,4
98,3,6,5
105,3,4,4
110,3,1,3
90,3,4,6
115,3,1,3
95,3,1,6
108,3,7,6
120,3,1,4
85,3,1,9
82.5,4,14,4
80,4,4,4
85,4,6,4
90,4,2,3
87,4,4,4
80,4,1,5
95,4,8,4
58,4,1,8
82,4,0,5
85,4,1,5
92,4,7,5
95,4,2,4
87.5,4,0.5,5
70,4,6,8
82,4,2,6
100,4,4,4
110,4,6,3
84.5,4,3,6
85.5,4,4,6
67.925,4,1,8
105,4,7,4
85,4,2,6
87.5,4,4,6
95,4,2,5
95,4,10,6
96.5,4,2,5
107.5,4,4,4
105,4,9,5
120.4,4,14,4
115,4,0,3
92,4,2,7
123,4,1,4
135.5,4,7,4
94,5,15,4
91,5,2,3
90,5,1,4
75,5,1,6
100,5,0,3
100,5,0,3
82,5,3,6
90,5,10,6
85,5,3,6
100,5,2,4
87.5,5,3,6
85,5,0,6
92,5,5,6
104,5,1,4
108,5,4,4
90,5,1,6
90,5,1,6
85,5,3,7
100,5,2,5
107,5,1,4
120,5,13,4
126,5,4,3
91,5,1,8
52,6,3,7
74,6,9,5
85,6,1,3
68,6,5,6
87,6,7,4
101,6,3,2
101,6,3,2
79.2,6,3,5
101,6,1,2
79,6,10,6
105,6,2,2
85,6,10,6
95,6,4,4
79.2,6,2,6
85,6,6,6
80.6,6,0.5,6
83,6,19,8
97.5,6,1,4
101.25,6,0.5,4
83,6,13,8
90,6,4,6
105,6,2,4
106,6,1,4
95,6,0,5.3
120,6,13,4
118,6,2,3
82.008,6,2,8
115,6,3,4
120,6,0,3
91,6,1,8
130,6,6,4
91,7,2,3
85,7,1,4
92,7,5,4
95,7,15,5
95,7,14,5
83,7,2,6
86,7,2,6
95,7,3,5
87.5,7,3,6
87,7,2,6
88,7,2,6
105,7,1,4
79,7,1,8
95,7,3,7
125,7,1,3
143.5,7,9,2
92,7,3,8
88,7,5,9
125,7,2,4
70,8,12,8
68,8,3,8
86,8,3,6
105,8,3,4
97.5,8,3,5
90,8,3,6
91,8,3,6
115,8,8,4
120,8,1,2.5
95,8,3,6
125,8,1,2
120,8,1,3
98,8,2,6
108.5,8,12,6
107,8,2,5
115,8,0.5,4
110,8,2,5
120,8,1,4
120,8,1,4
130,8,2,3
137,8,1,3
85,9,2,6
105,9,5,4
91.5,9,1,6
95,9,0.5,6
126,9,2,4
