Run,x1,x2,x3,x4,x5,y
1,36,5,100,3,6,28.6
2,145,5,100,3,6,22.7
3,36,25,100,3,6,8
4,145,25,100,3,6,21
5,36,5,500,3,6,139.95
6,145,5,500,3,6,62.55
7,36,25,500,3,6,6
8,145,25,500,3,6,50.5
9,36,5,100,6,6,36.2
10,145,5,100,6,6,27.95
11,36,25,100,6,6,34.5
12,145,25,100,6,6,31.25
13,36,5,500,6,6,184.95
14,145,5,500,6,6,88.05
15,36,25,500,6,6,91.75
16,145,25,500,6,6,98.25
17,36,5,100,3,24,37.95
18,145,5,100,3,24,30
19,36,25,100,3,24,22
20,145,25,100,3,24,30.75
21,36,5,500,3,24,204.75
22,145,5,500,3,24,103.45
23,36,25,500,3,24,121.75
24,145,25,500,3,24,135.75
25,36,5,100,6,24,41.4
26,145,5,100,6,24,40.1
27,36,25,100,6,24,38.25
28,145,25,100,6,24,39.25
29,36,5,500,6,24,261.55
30,145,5,500,6,24,172.9
31,36,25,500,6,24,171.5
32,145,25,500,6,24,132.75
33,36,15,300,4.5,15,39.85
34,145,15,300,4.5,15,59.4
35,90.5,5,300,4.5,15,49.3
36,90.5,25,300,4.5,15,54.5
37,90.5,15,100,4.5,15,45.41
38,90.5,15,500,4.5,15,154.29
39,90.5,15,300,3,15,38.95
40,90.5,15,300,6,15,97.44
41,90.5,15,300,4.5,6,37.14
42,90.5,15,300,4.5,24,97.74
43,90.5,15,300,4.5,15,132.03
44,90.5,15,300,4.5,15,123.16
45,90.5,15,300,4.5,15,81.95
46,90.5,15,300,4.5,15,117.89
47,90.5,15,300,4.5,15,96.39
