y,x1,x2,x3
0,359.863,20.9,0
1,360,16.6,0
1,360,20.9,0
0,360,20.9,0
0,360,20.9,0
0,359.715,14.2,0
1,359.656,12.8,0
0,360,12.8,0
1,359.966,13,0
0,359.932,12.8,0
1,360,16.6,0
1,321.132,9.4,0
0,241.371,9.4,0
1,360,16.1,0
0,360,16.1,0
1,360,12,0
0,360,16.6,0
0,358.139,16.1,0
0,360,16.1,0
1,360,12,0
1,360,16.6,0
0,242.278,9,0
0,344.526,9,0
0,360,10.2,0
0,354.5,31.9,0
0,322.51,12.7,0
0,360,31.9,0
1,360,15.43333333,0
1,120,17.4,0
0,360,15.1,0
1,360,15.1,0
0,350.02,13.8,0
1,48,17.4,0
0,297.5,14.5,0
0,91.2,24.3,0
1,359.565,21.5,0
1,360,15.2,0
0,360,13.5,0
0,240,9,0
0,346.501,10.2,0
0,360,15.2,0
0,371.151,21.5,0
0,342.112,10.2,0
1,359.996,9,0
0,100,13.5,0
0,337.535,15.2,0
0,358.21,24.1,0
0,119.9,17.4,0
0,360,13.8,0
0,119.78,17.4,0
0,115.15,17.4,0
1,360,13.8,0
1,359.009,15.1,0
1,120,17.4,0
1,359.957,16.6,0
0,358.892,9,0
1,187.863,15.1,0
0,359.284,9,0
1,360,16.6,0
0,240,9.4,0
0,343.744,19.9,0
0,360,19.9,1
1,360,16.1,0
0,185.003,16.1,0
0,360,9,0
0,360,12,0
1,360,16.1,0
1,360,16.1,0
0,360,16.1,0
0,360,12,0
0,360,16.1,0
0,360,9.4,0
0,359.287,16.6,0
1,360,24.3,0
0,360,16.6,0
0,237.002,16.6,0
0,359.462,16.1,0
0,360,16.1,0
0,360,12,0
1,350.208,16.1,0
1,359.539,16.1,0
0,349.834,9.4,0
1,120,9,0
0,359.831,10.2,0
1,358.734,26.7,0
0,342.653,9,0
0,360,9,0
0,359.951,15.1,0
1,360,15.1,0
0,360,15.1,0
1,120,17.4,0
1,360,17.4,0
0,350,13.8,0
0,120,17.4,0
1,284.36,13.8,0
1,349.269,19.9,0
1,360,9.4,0
0,360,16.6,0
0,356.04,9,0
0,120,9,0
1,360,9.4,0
1,184.538,20.45,0
0,94,14.5,0
1,358.663,9,0
0,343.915,9.4,0
0,360,12.8,0
0,360,12.8,0
0,265.914,9.4,0
0,100.274,15.6,0
1,360,24.3,0
0,262.786,15.1,0
1,358.557,21.5,0
0,239.626,9,0
0,48,11.975,1
0,318.501,14.5,0
1,359.639,15.2,0
0,342.704,9,0
0,343.435,9,0
1,333.1,16.1,1
1,360,13.5,0
0,356.2,18,0
0,356.2,16.1,0
0,120,9.225,0
0,360,17.4,0
0,341.522,10.2,0
,,,
,,,
0,360,12.1,0
0,360,16.6,0
1,360,9.4,0
0,197.962,9,1
1,356.563,13,0
0,385.584,12,0
0,320,16.6,1
1,360,24.3,0
1,214.175,16.1,0
1,358.696,9,0
1,315.398,14.5,0
0,347.628,16.6,0
0,240,15.6,0
0,360,15.1,0
0,360,17.4,0
1,357.4,15.1,0
1,360,9.4,0
0,360,16.6,0
1,360,9.4,0
1,118.739,17.4,0
0,356,13.8,0
0,240,12,1
0,170.01,24.1,0
1,360,15.1,1
0,355,24.3,1
0,360,16.6,1
1,84.25,9,0
0,360,14.03333333,0
1,359.979,19.9,0
1,270.992,16.1,0
1,309.712,9,0
0,360,12.8,0
1,358.699,24.3,0
,,,
1,344.642,15.1,0
1,360,20.9,0
0,116,10.2,0
1,360,10.2,0
1,330.925,16.1,0
0,359.371,9.4,0
0,360,17.4,0
1,359.995,13.8,0
0,239.452,15.6,0
1,360,13.8,0
0,48,12,0
0,73.757,12.8,1
1,360,9,0
1,278.232,9,0
1,359.53,16.1,0
0,73.565,31.9,0
0,290,16.6,0
0,360,15.2,1
1,337.362,20.9,0
0,120,24.3,1
0,359.504,24.3,0
0,336,15.6,0
1,360,15.6,0
0,350.963,13.8,1
0,389.4,21.5,0
0,119.6,14.5,0
1,344.824,9,0
1,360,16.6,0
1,360,14.8,0
0,449.4,9,0
0,360,16.1,0
1,360,14.2,0
0,339.46,9.4,0
0,15,15.2,0
0,360.6,16.1,0
1,339.245,24.3,0
1,359.439,31.9,0
0,320,12,1
1,360,19.9,0
0,95.8,24.3,1
1,258.46,9,0
0,260,16.6,0
1,347.749,9,0
1,67.032,9,0
0,224.418,15.2,1
1,360,17.4,0
0,354.275,9.4,1
,,,
0,360,17.4,0
0,88,17.4,1
0,360,14.2,1
0,360,20.9,0
0,360,16.6,0
1,6,24.3,0
1,75,24.3,0
0,228.148,9,1
0,55.36,10.2,1
1,360,13.5,0
1,360,9,0
1,336.735,16.1,0
0,360,15.6,1
1,360,15.1,0
