Rent,BR,BA,Size
1055,2,2,1049
950,2,1,1000
990,2,2,1151
965,2,1,1044
920,2,1,800
975,2,2,1063
905,2,1,800
990,2,2,1044
880,2,1,900
920,2,1,900
1100,2,2,1176
1250,2,2,1200
965,2,2,1050
1145,2,1,1068
905,2,1,888
905,2,2,940
850,2,1,1000
982,2,2,1000
1092,2,2,1145
980,2,2,1049
899,2,1,786
950,2,1,1000
1045,2,2,1340
975,2,2,1063
915,2,1,947
1040,2,2,1000
940,2,1,1000
890,2,1,768
885,2,2,1020
895,2,1,900
1150,2,2,1250
945,2,2,938
1020,2,1,875
1075,2,2,1100
1005,2,1,875
1085,2,2,1150
970,2,1,875
1275,2,2,1340
855,2,2,950
975,2,2,1000
919,2,1,800
1075,2,2,1100
1100,2,2,1112
1005,2,2,926
1100,2,1,840
1040,2,2,1025
925,2,1,895
1075,2,2,920
1225,2,2,1150
1100,2,2,1112
965,2,1,875
950,2,2,850
875,2,1,787
870,2,1,900
765,2,1,800
855,2,2,950
1085,2,2,1112
950,2,1,1100
1220,2,2,1464
900,2,2,1045
1050,2,2,953
1235,2,2,1382
944,2,1,850
1195,2,2,1096
1050,2,2,953
1130,2,2,1085
1220,2,2,1464
965,2,2,1150
1000,2,2,1150
1010,2,2,1220
925,2,1,800
885,2,1,850
900,2,2,900
1085,2,2,1170
1195,2,2,1096
1245,2,2,1382
963,2,2,1100
