Percentile,x,ln(x)
-4.49,17.7,2.87
-3.38,18.9,2.94
-2.86,20.9,3.04
-2.51,21.4,3.06
-2.25,21.7,3.08
-2.04,22.3,3.1
-1.86,22.6,3.12
-1.7,22.8,3.13
-1.56,23,3.14
-1.44,23.1,3.14
-1.33,23.2,3.14
-1.22,23.3,3.15
-1.12,23.7,3.17
-1.03,24,3.18
-0.94,24.1,3.18
-0.86,24.1,3.18
-0.78,24.2,3.19
-0.71,24.4,3.19
-0.64,25.2,3.23
-0.57,25.6,3.24
-0.5,25.6,3.24
-0.43,25.7,3.25
-0.37,25.7,3.25
-0.3,25.8,3.25
-0.24,25.8,3.25
-0.18,25.9,3.25
-0.12,25.9,3.25
-0.06,26,3.26
0,26.2,3.27
0.06,26.2,3.27
0.12,26.4,3.27
0.19,26.6,3.28
0.25,26.7,3.28
0.31,26.8,3.29
0.38,26.9,3.29
0.44,26.9,3.29
0.51,27,3.3
0.58,27.3,3.31
0.66,28,3.33
0.74,28.1,3.34
0.83,28.8,3.36
0.94,29.2,3.37
1.06,29.4,3.38
1.22,30,3.4
1.5,31.1,3.44
