"","Dorm","GPA"
"1","L",2
"2","L",2.25
"3","L",2.6
"4","L",2.9
"5","L",3
"6","L",3
"7","L",3
"8","L",3
"9","L",3
"10","L",3.2
"11","L",3.2
"12","L",3.25
"13","L",3.3
"14","L",3.3
"15","L",3.32
"16","L",3.5
"17","L",3.5
"18","L",3.6
"19","L",3.6
"20","L",3.7
"21","L",3.75
"22","L",3.75
"23","L",3.79
"24","L",3.8
"25","L",3.8
"26","L",3.9
"27","L",4
"28","L",4
"29","L",4
"30","L",4
"31","N",1.2
"32","N",2
"33","N",2.29
"34","N",2.45
"35","N",2.5
"36","N",2.5
"37","N",2.5
"38","N",2.5
"39","N",2.65
"40","N",2.7
"41","N",2.75
"42","N",2.75
"43","N",2.79
"44","N",2.8
"45","N",2.8
"46","N",2.8
"47","N",2.86
"48","N",2.9
"49","N",3
"50","N",3.07
"51","N",3.1
"52","N",3.25
"53","N",3.5
"54","N",3.54
"55","N",3.56
"56","N",3.6
"57","N",3.7
"58","N",3.75
"59","N",3.8
"60","N",4
