Brand,PAPFUA
Imperial,14.10000038
Imperial,13.60000038
Imperial,14.39999962
Imperial,14.30000019
Parkay,12.80000019
Parkay,12.5
Parkay,13.39999962
Parkay,13
Parkay,12.30000019
BlueBonnet,13.5
BlueBonnet,13.39999962
BlueBonnet,14.10000038
BlueBonnet,14.30000019
Chiffon,13.19999981
Chiffon,12.69999981
Chiffon,12.60000038
Chiffon,13.89999962
Mazola,16.79999924
Mazola,17.20000076
Mazola,16.39999962
Mazola,17.29999924
Mazola,18
Fleischmanns,18.10000038
Fleischmanns,17.20000076
Fleischmanns,18.70000076
Fleischmanns,18.39999962
