Accuracy,Distance,Bullet
2,25,F
2,25,F
1,25,F
1,25,F
3,25,F
3,25,F
7,25,F
6,25,F
2,25,F
1,25,F
2,25,F
1,25,F
1,25,F
2,25,F
3,25,F
7,25,F
6,25,F
2,25,F
2,25,F
2,25,F
3,25,F
3,25,F
1,25,F
4,25,F
4,25,F
4,25,F
4,25,F
6,25,F
4,25,F
5,25,F
4,25,F
3,25,F
3,25,F
3,25,F
3,25,F
1,25,F
2,25,F
3,25,F
3,25,F
1,25,F
3,25,F
2,25,F
2,25,F
3,25,F
4,25,F
4,25,F
1,25,F
2,25,F
2,25,F
2,25,F
3,25,F
4,25,F
3,25,F
4,25,F
5,25,F
4,25,F
5,25,F
3,25,F
4,25,F
3,25,F
4,25,F
5,25,F
4,25,F
3,25,F
5,25,F
2,25,F
2,25,F
2,25,F
2,25,F
1,25,F
3,25,F
2,25,F
4,25,F
3,25,F
2,25,F
4,25,W
6,25,W
2,25,W
5,25,W
6,25,W
3,25,W
3,25,W
2,25,W
0,25,W
4,25,W
3,25,W
3,25,W
4,25,W
6,25,W
4,25,W
3,25,W
2,25,W
3,25,W
2,25,W
3,25,W
4,25,W
5,25,W
3,25,W
3,25,W
5,25,W
4,25,W
2,25,W
2,25,W
3,25,W
2,25,W
3,25,W
4,25,W
4,25,W
4,25,W
4,25,W
4,25,W
2,25,W
3,25,W
2,25,W
1,25,W
0,25,W
1,25,W
3,25,W
3,25,W
1,25,W
2,25,W
2,25,W
3,25,W
3,25,W
1,25,W
5,25,W
3,25,W
2,25,W
2,25,W
2,25,W
5,25,W
4,25,W
3,25,W
4,25,W
2,25,W
4,25,W
2,25,W
4,25,W
6,25,W
4,25,W
4,25,W
3,25,W
3,25,W
4,25,W
8,25,W
3,25,W
3,25,W
3,25,W
4,25,W
8,25,W
3,25,R
4,25,R
1,25,R
2,25,R
2,25,R
4,25,R
6,25,R
6,25,R
5,25,R
4,25,R
5,25,R
3,25,R
3,25,R
3,25,R
3,25,R
1,25,R
1,25,R
3,25,R
4,25,R
2,25,R
3,25,R
2,25,R
0,25,R
0,25,R
3,25,R
3,25,R
3,25,R
2,25,R
4,25,R
6,25,R
3,25,R
5,25,R
5,25,R
4,25,R
3,25,R
4,25,R
4,25,R
2,25,R
1,25,R
2,25,R
3,25,R
3,25,R
2,25,R
2,25,R
4,25,R
2,25,R
2,25,R
3,25,R
4,25,R
6,25,R
3,25,R
4,25,R
4,25,R
4,25,R
1,25,R
2,25,R
4,25,R
2,25,R
4,25,R
6,25,R
4,25,R
4,25,R
4,25,R
3,25,R
5,25,R
4,25,R
6,25,R
4,25,R
4,25,R
4,25,R
5,25,R
3,25,R
5,25,R
3,25,R
5,25,R
2,50,F
5,50,F
8,50,F
6,50,F
4,50,F
4,50,F
7,50,F
7,50,F
7,50,F
5,50,F
4,50,F
5,50,F
6,50,F
7,50,F
3,50,F
4,50,F
3,50,F
5,50,F
6,50,F
5,50,F
3,50,F
4,50,F
4,50,F
4,50,F
6,50,F
5,50,F
5,50,F
5,50,F
7,50,F
7,50,F
2,50,F
4,50,F
2,50,F
8,50,F
7,50,F
7,50,F
5,50,F
7,50,F
8,50,F
5,50,F
5,50,F
6,50,F
5,50,F
7,50,F
7,50,F
5,50,F
5,50,F
5,50,F
7,50,F
4,50,F
7,50,F
7,50,F
7,50,F
2,50,F
4,50,F
2,50,F
8,50,F
7,50,F
7,50,F
5,50,F
7,50,F
8,50,F
5,50,F
5,50,F
6,50,F
5,50,F
7,50,F
7,50,F
5,50,F
5,50,F
5,50,F
7,50,F
4,50,F
7,50,F
5,50,F
8,50,W
4,50,W
4,50,W
4,50,W
6,50,W
5,50,W
6,50,W
6,50,W
8,50,W
8,50,W
8,50,W
5,50,W
5,50,W
7,50,W
7,50,W
6,50,W
7,50,W
6,50,W
5,50,W
5,50,W
5,50,W
5,50,W
3,50,W
3,50,W
4,50,W
1,50,W
3,50,W
5,50,W
3,50,W
6,50,W
5,50,W
5,50,W
8,50,W
3,50,W
8,50,W
6,50,W
7,50,W
3,50,W
8,50,W
7,50,W
5,50,W
2,50,W
7,50,W
6,50,W
7,50,W
3,50,W
7,50,W
5,50,W
3,50,W
5,50,W
8,50,W
7,50,W
7,50,W
6,50,W
9,50,W
6,50,W
3,50,W
8,50,W
8,50,W
8,50,W
4,50,W
5,50,W
5,50,W
6,50,W
6,50,W
6,50,W
4,50,W
5,50,W
5,50,W
5,50,W
4,50,W
5,50,W
6,50,W
6,50,W
7,50,W
5,50,R
6,50,R
5,50,R
4,50,R
6,50,R
3,50,R
7,50,R
7,50,R
7,50,R
6,50,R
7,50,R
7,50,R
8,50,R
7,50,R
7,50,R
7,50,R
4,50,R
5,50,R
3,50,R
4,50,R
3,50,R
4,50,R
6,50,R
4,50,R
5,50,R
4,50,R
4,50,R
4,50,R
5,50,R
7,50,R
7,50,R
5,50,R
7,50,R
6,50,R
5,50,R
7,50,R
7,50,R
4,50,R
3,50,R
5,50,R
7,50,R
7,50,R
5,50,R
4,50,R
4,50,R
3,50,R
3,50,R
4,50,R
4,50,R
7,50,R
7,50,R
7,50,R
7,50,R
5,50,R
5,50,R
7,50,R
7,50,R
7,50,R
5,50,R
4,50,R
3,50,R
5,50,R
6,50,R
4,50,R
4,50,R
6,50,R
4,50,R
7,50,R
7,50,R
7,50,R
6,50,R
5,50,R
3,50,R
7,50,R
6,50,R
