Inhibition Pct,Oil Type,Concentration
60,Ginger,2
58,Thyme,2
57,Coriander,2
17,Marjoram,2
14,Mustard,2
22,Chamomile,2
10,Licorice,2
15,Nigella,2
72,Ginger,4
64,Thyme,4
63,Coriander,4
34,Marjoram,4
31,Mustard,4
36,Chamomile,4
14,Licorice,4
29,Nigella,4
80,Ginger,6
78,Thyme,6
81,Coriander,6
49,Marjoram,6
45,Mustard,6
54,Chamomile,6
23,Licorice,6
42,Nigella,6
92,Ginger,8
86,Thyme,8
89,Coriander,8
51,Marjoram,8
63,Mustard,8
63,Chamomile,8
28,Licorice,8
48,Nigella,8
99,Ginger,10
96,Thyme,10
99,Coriander,10
67,Marjoram,10
70,Mustard,10
72,Chamomile,10
33,Licorice,10
57,Nigella,10
