Obs,Temp,Removal %
1,7.68,98.09
2,6.51,98.25
3,6.43,97.82
4,5.48,97.82
5,6.57,97.82
6,10.22,97.93
7,15.69,98.38
8,16.77,98.89
9,17.13,98.96
10,17.63,98.9
11,16.72,98.68
12,15.45,98.69
13,12.06,98.51
14,11.44,98.09
15,10.17,98.25
16,9.64,98.36
17,8.55,98.27
18,7.57,98
19,6.94,98.09
20,8.32,98.25
21,10.5,98.41
22,16.02,98.51
23,17.83,98.71
24,17.03,98.79
25,16.18,98.87
26,16.26,98.76
27,14.44,98.58
28,12.78,98.73
29,12.25,98.45
30,11.69,98.37
31,11.34,98.36
32,10.97,98.45
