Temp,Disch. rate,Capacity
0,0.5,0.96001
0,1.75,0.85001
0,3,0.89001
25,0.5,1.38001
40,1.75,1.05396
40,3,0.96337
20,0.5,1.271
20,1.75,1.24897
20,3,1.20751
25,3,1.32001
50,3,1.39139
40,0.5,1.00208
50,0.5,1.44001
25,1.75,1.30001
30,1.75,0.82697
50,1.75,1.42713
0,1,1.08485
20,1,1.40556
25,1,1.47986
30,1,0.91734
40,1,1.18187
50,1,1.53058
0,1.25,1.06506
20,1.25,1.34459
25,1.25,1.45473
30,1.25,1.32355
40,1.25,1.54713
50,1.25,1.47159
0,1.5,0.85171
20,1.5,1.2089
25,1.5,1.29703
30,1.5,1.16097
40,1.5,1.32047
50,1.5,1.36305
30,1.25,1.32355
40,1.25,1.54713
50,1.25,1.47159
0,1.5,0.85171
20,1.5,1.2089
25,1.5,1.29703
30,1.5,1.16097
40,1.5,1.32047
50,1.5,1.36305
