y,x1,x2
10.6,0.4,273.15
13.4,0.5,273.15
16.8,0.6,273.15
18.5,0.7,273.15
19.5,0.8,273.15
19.8,0.9,273.15
19.9,1,273.15
12.8,0.4,278.15
16.2,0.5,278.15
19.2,0.6,278.15
21,0.7,278.15
21.4,0.8,278.15
21.5,0.9,278.15
21.6,1,278.15
13.7,0.4,283.15
18.8,0.5,283.15
20.9,0.6,283.15
23.1,0.7,283.15
23.4,0.8,283.15
23.5,0.9,283.15
23.7,1,283.15
17.3,0.4,288.15
20.7,0.5,288.15
23.8,0.6,288.15
26.4,0.7,288.15
26.7,0.8,288.15
26.9,0.9,288.15
27.1,1,288.15
20.5,0.4,293.15
25.2,0.5,293.15
26.9,0.6,293.15
29.1,0.7,293.15
29.6,0.8,293.15
29.8,0.9,293.15
30,1,293.15
23.7,0.4,298.15
27.2,0.5,298.15
29.8,0.6,298.15
31.2,0.7,298.15
32.1,0.8,298.15
32.4,0.9,298.15
33,1,298.15
27.4,0.4,303.15
31.6,0.5,303.15
33.4,0.6,303.15
35,0.7,303.15
36.2,0.8,303.15
36.2,0.9,303.15
36.9,1,303.15
34.3,0.4,308.15
36.9,0.5,308.15
38.7,0.6,308.15
40.7,0.7,308.15
41,0.8,308.15
41.3,0.9,308.15
41.6,1,308.15
38.5,0.4,313.15
42.1,0.5,313.15
43.4,0.6,313.15
45.3,0.7,313.15
45.5,0.8,313.15
45.7,0.9,313.15
45.9,1,313.15
