Cost per sqft,Size (000 sqft),New,PLA
123.5305,130,1,0
146.3563,175,1,0
145.0385,77,1,0
138.2378,188,1,0
147.9538,45,1,0
130.4971,105,1,0
161.2828,95,1,0
141.6906,70,1,0
128.5926,94,1,0
134.9647,123,1,0
139.2553,123,1,0
154.0029,85,1,0
154.2263,147.75,1,0
148.8962,189.5,1,0
74.26992,96.105,0,0
140.0478,180,1,1
175.3185,112.355,1,0
146.4152,205,1,1
144.7208,110.601,1,1
134.5196,123.674,1,1
131.4438,139.598,1,1
142.0172,212.766,1,1
153.781,123.674,1,1
147.8832,212.766,1,0
124.9185,150,1,0
149.8748,80,1,0
160.1118,45,1,0
152.9363,88,1,0
145.4577,127.577,1,0
135.1024,140,1,0
109.3101,72,0,0
113.2587,105,1,0
141.8984,99.5,1,0
133.6364,106,1,0
171.0222,60,1,0
108.7024,80,1,0
150.8454,54,1,0
116.5784,158,1,0
146.8698,105,1,0
185.2051,97.19,1,0
173.0156,150,1,0
139.5782,91,1,0
122.22,70,1,0
152.9001,65,1,0
155.6723,266.05,0,1
128.5565,159.115,0,1
162.1122,65.28,0,1
147.7215,93,1,0
139.8253,96,1,1
162.4637,142,1,1
202.9272,146,1,1
175.8132,178.027,1,1
178.9403,45.19,0,1
126.4368,82.6,0,0
145.7612,117,1,0
113.816,170,1,0
106.6724,190,0,0
103.6684,225.6,0,0
153.954,97,1,0
108.7729,109.9,0,0
185.4114,116,1,1
82.28367,260,0,0
124.129,216.2,1,0
119.9991,104.4,0,0
123.1825,254.461,1,0
131.3272,120,1,0
101.0726,228,0,0
158.5807,74,0,0
85.67359,180,1,0
133.3455,224,1,0
145.3512,120,1,0
127.2469,244,1,0
114.0909,220,0,0
143.825,226,1,0
139.6479,87,1,0
110.051,100.656,0,0
148.8411,56,1,0
156.5213,114,1,0
85.49511,213,0,0
137.123,205,1,0
86.78558,180,0,0
147.5736,206,0,0
129.137,221,1,0
133.2603,140,1,0
124.3079,300,1,0
124.8282,55,0,0
92.52495,114,0,0
148.6166,52.399,1,0
159.9517,72,1,0
150.8961,72,1,0
139.5621,246.1,1,0
102.1241,120,0,0
121.4608,170,1,0
149.6727,236,1,0
193.779,148,0,0
151.168,63.5,1,0
129.597,56.88,0,1
111.7549,56.35,0,0
106.236,196.806,0,0
145.4581,70,1,0
137.4888,87,0,0
154.1185,61,0,0
152.7002,70,1,1
130.3254,185,1,1
140.5218,97,1,0
121.3551,128,0,0
113.3761,62.7,0,0
72.71777,336.378,0,0
120.534,116,0,0
156.7265,267.966,1,1
183.3814,79.84,1,0
139.2059,67,1,0
141.7263,72,1,0
199.2624,66,0,0
131.5942,74,0,0
147.5983,286.65,1,1
100.9449,150,0,0
106.7672,383,0,0
138.2429,100,1,0
135.9231,114,0,0
181.3379,49.609,0,0
105.8441,204.09,0,0
146.0144,139.74,1,0
140.5698,144.349,0,0
127.0894,126.775,0,0
133.8379,80,1,0
