Beer,IBU,ABV,Rating
Amstel Light,18,3.5,1.93
Anchor Liberty Ale,54,5.9,3.6
Anchor Steam,33,4.9,3.31
Bud Light,7,4.2,1.15
Budweiser,11,5,1.38
Coors,14,5,1.63
DAB Dark,32,5,2.73
Dogfish 60 Minute IPA,60,6,3.76
Great Divide Titan IPA,65,6.8,3.81
Great Divide Hercules Double IPA,85,9.1,4.05
Guinness Extra Stout,60,5,3.38
Harp Lager,21,4.3,2.85
Heineken,23,5,2.13
Heineken Premium Light,11,3.2,1.62
Michelob Ultra,4,4.2,1.01
Newcastle Brown Ale,18,4.7,3.05
Pilsner Urquell,35,4.4,3.28
Redhook ESB,29,5.77,3.06
Rogue Imperial Stout,88,11.6,3.98
Samuel Adams Boston Lager,31,4.9,3.19
Shiner Light,13,4.03,2.57
Sierra Nevada Pale Ale,37,5.6,3.61
Sierra Nevada Porter,40,5.6,3.6
Terrapin All-American Imperial Pilsner,75,7.5,3.46
Three Floyds Alpha King,66,6,4.04
,,,
