Hardness,Liquid
542.18,Saliva
508.31,Saliva
473.44,Saliva
514.33,Saliva
488.41,Saliva
477.46,Saliva
501.71,Saliva
513.65,Saliva
471.46,Saliva
421.9,Saliva
478.99,Lactic acid
501.15,Lactic acid
488.97,Lactic acid
463.68,Lactic acid
471.14,Lactic acid
568.14,Lactic acid
494.15,Lactic acid
494.99,Lactic acid
483.89,Lactic acid
520.33,Lactic acid
427.97,Citric acid
388.59,Citric acid
378.01,Citric acid
341.61,Citric acid
395.12,Citric acid
433.59,Citric acid
353.03,Citric acid
344.9,Citric acid
387.09,Citric acid
501.81,Citric acid
482.96,Ethanol
451.48,Ethanol
436.69,Ethanol
424.42,Ethanol
465.64,Ethanol
387.59,Ethanol
322.55,Ethanol
277.84,Ethanol
367.36,Ethanol
385.75,Ethanol
