Skin potential,Subjects,Emotion
23.1,1,Fear
57.6,2,Fear
10.5,3,Fear
23.6,4,Fear
11.9,5,Fear
54.6,6,Fear
21,7,Fear
20.3,8,Fear
22.7,1,Happiness
53.2,2,Happiness
9.7,3,Happiness
19.6,4,Happiness
13.8,5,Happiness
47.1,6,Happiness
13.6,7,Happiness
23.6,8,Happiness
22.5,1,Depression
53.7,2,Depression
10.8,3,Depression
21.1,4,Depression
13.7,5,Depression
39.2,6,Depression
13.7,7,Depression
16.3,8,Depression
22.6,1,Calmness
53.1,2,Calmness
8.3,3,Calmness
21.6,4,Calmness
13.3,5,Calmness
37,6,Calmness
14.8,7,Calmness
14.8,8,Calmness
