Length,Country
94,American
91,American
92,American
120,American
90,American
104,American
113,American
109,American
95,American
116,American
116,American
91,American
93,American
162,American
90,American
138,American
128,American
102,American
97,American
95,American
90,American
103,American
125,American
110,American
95,American
123,French
90,French
95,French
113,French
116,French
96,French
125,French
128,French
90,French
94,French
122,French
93,French
158,French
137,French
103,French
92,French
122,French
102,French
96,French
119,French
105,French
111,French
125,French
106,French
81,French
