Radon Conc,
3,Cancer
5,Cancer
6,Cancer
7,Cancer
8,Cancer
9,Cancer
9,Cancer
10,Cancer
10,Cancer
10,Cancer
11,Cancer
11,Cancer
11,Cancer
11,Cancer
12,Cancer
13,Cancer
13,Cancer
15,Cancer
15,Cancer
15,Cancer
16,Cancer
16,Cancer
16,Cancer
17,Cancer
18,Cancer
18,Cancer
18,Cancer
20,Cancer
21,Cancer
21,Cancer
22,Cancer
22,Cancer
23,Cancer
23,Cancer
27,Cancer
33,Cancer
34,Cancer
38,Cancer
39,Cancer
45,Cancer
57,Cancer
210,Cancer
3,No Cancer
3,No Cancer
5,No Cancer
6,No Cancer
6,No Cancer
7,No Cancer
7,No Cancer
7,No Cancer
8,No Cancer
8,No Cancer
9,No Cancer
9,No Cancer
9,No Cancer
9,No Cancer
11,No Cancer
11,No Cancer
11,No Cancer
11,No Cancer
11,No Cancer
12,No Cancer
12,No Cancer
13,No Cancer
14,No Cancer
17,No Cancer
17,No Cancer
21,No Cancer
21,No Cancer
24,No Cancer
24,No Cancer
29,No Cancer
29,No Cancer
29,No Cancer
29,No Cancer
33,No Cancer
38,No Cancer
39,No Cancer
55,No Cancer
55,No Cancer
85,No Cancer
